1 | 1 | 1 | 2026-01-05 | 350.00 | COMBUSTIVEL MES 1 | APROVADA
2 | 2 | 1 | 2026-01-06 | 280.50 | COMBUSTIVEL MES 1 | APROVADA
3 | 3 | 4 | 2026-01-08 | 1200.00 | MANUTENCAO PREVENTIVA | APROVADA
4 | 4 | 2 | 2026-01-10 | 3800.00 | IPVA 2026 | APROVADA
5 | 5 | 1 | 2026-01-12 | 420.00 | COMBUSTIVEL MES 1 | APROVADA
6 | 6 | 6 | 2026-01-15 | 180.00 | LICENCIAMENTO ANUAL | APROVADA
7 | 7 | 3 | 2026-01-18 | 250.00 | MULTA VELOCIDADE | APROVADA
8 | 8 | 1 | 2026-01-20 | 310.00 | COMBUSTIVEL MES 1 | APROVADA
9 | 9 | 5 | 2026-01-22 | 2100.00 | SEGURO ANUAL | APROVADA
10 | 10 | 7 | 2026-01-25 | 80.00 | LAVAGEM COMPLETA | APROVADA
11 | 11 | 1 | 2026-02-03 | 360.00 | COMBUSTIVEL MES 2 | APROVADA
12 | 12 | 4 | 2026-02-05 | 950.00 | TROCA DE OLEO E FILTROS | APROVADA
13 | 13 | 2 | 2026-02-08 | 4200.00 | IPVA 2026 | APROVADA
14 | 14 | 1 | 2026-02-10 | 295.00 | COMBUSTIVEL MES 2 | APROVADA
15 | 15 | 8 | 2026-02-12 | 1800.00 | TROCA 4 PNEUS | APROVADA
16 | 16 | 3 | 2026-02-14 | 195.00 | MULTA ESTACIONAMENTO | APROVADA
17 | 17 | 1 | 2026-02-18 | 380.00 | COMBUSTIVEL MES 2 | APROVADA
18 | 18 | 6 | 2026-02-20 | 180.00 | LICENCIAMENTO ANUAL | APROVADA
19 | 19 | 7 | 2026-02-22 | 90.00 | LAVAGEM COMPLETA | APROVADA
20 | 20 | 4 | 2026-02-25 | 1500.00 | REVISAO 30000KM | APROVADA
21 | 21 | 1 | 2026-03-02 | 410.00 | COMBUSTIVEL MES 3 | APROVADA
22 | 22 | 5 | 2026-03-05 | 1950.00 | SEGURO ANUAL | APROVADA
23 | 23 | 1 | 2026-03-08 | 330.00 | COMBUSTIVEL MES 3 | APROVADA
24 | 24 | 3 | 2026-03-10 | 300.00 | MULTA SEMAFORO | APROVADA
25 | 25 | 8 | 2026-03-12 | 900.00 | TROCA 2 PNEUS DIANTEIROS | APROVADA
26 | 26 | 1 | 2026-03-15 | 275.00 | COMBUSTIVEL MES 3 | APROVADA
27 | 27 | 4 | 2026-03-18 | 750.00 | TROCA PASTILHAS DE FREIO | APROVADA
28 | 28 | 9 | 2026-03-20 | 45.00 | PEDAGIO VIAGEM SP | APROVADA
29 | 29 | 1 | 2026-03-22 | 390.00 | COMBUSTIVEL MES 3 | APROVADA
30 | 30 | 7 | 2026-03-25 | 85.00 | LAVAGEM COMPLETA | APROVADA
31 | 31 | 1 | 2026-04-02 | 355.00 | COMBUSTIVEL MES 4 | APROVADA
32 | 32 | 4 | 2026-04-05 | 2200.00 | REVISAO 60000KM | APROVADA
33 | 33 | 2 | 2026-04-08 | 3600.00 | IPVA 2026 | APROVADA
34 | 34 | 1 | 2026-04-10 | 315.00 | COMBUSTIVEL MES 4 | APROVADA
35 | 35 | 3 | 2026-04-12 | 150.00 | MULTA FAIXA EXCLUSIVA | APROVADA
36 | 36 | 6 | 2026-04-15 | 180.00 | LICENCIAMENTO ANUAL | APROVADA
37 | 37 | 1 | 2026-04-18 | 400.00 | COMBUSTIVEL MES 4 | APROVADA
38 | 38 | 5 | 2026-04-20 | 2300.00 | SEGURO ANUAL | APROVADA
39 | 39 | 9 | 2026-04-22 | 60.00 | PEDAGIO VIAGEM RJ | APROVADA
40 | 40 | 8 | 2026-04-25 | 1600.00 | TROCA 4 PNEUS | APROVADA
41 | 41 | 1 | 2026-05-02 | 370.00 | COMBUSTIVEL MES 5 | APROVADA
42 | 42 | 4 | 2026-05-05 | 880.00 | TROCA CORREIA DENTADA | APROVADA
43 | 43 | 1 | 2026-05-08 | 290.00 | COMBUSTIVEL MES 5 | APROVADA
44 | 44 | 7 | 2026-05-10 | 95.00 | LAVAGEM COMPLETA | APROVADA
45 | 45 | 3 | 2026-05-12 | 200.00 | MULTA VELOCIDADE RADAR | APROVADA
46 | 46 | 1 | 2026-05-15 | 420.00 | COMBUSTIVEL MES 5 | APROVADA
47 | 47 | 10 | 2026-05-18 | 3200.00 | REVISAO COMPLETA 100000KM | APROVADA
48 | 48 | 1 | 2026-05-20 | 340.00 | COMBUSTIVEL MES 5 | APROVADA
49 | 49 | 9 | 2026-05-22 | 75.00 | PEDAGIO VIAGEM MG | APROVADA
50 | 50 | 4 | 2026-05-25 | 1100.00 | TROCA AMORTECEDORES | APROVADA
