1 | ABC1234 | FORD | KA | PASSEIO | 2005 | ATIVO
2 | DEF5678 | CHEVROLET | ONIX | PASSEIO | 2018 | ATIVO
3 | GHI9012 | VOLKSWAGEN | GOL | PASSEIO | 2010 | ATIVO
4 | JKL3456 | FIAT | PALIO | PASSEIO | 2008 | INATIVO
5 | MNO7890 | TOYOTA | COROLLA | PASSEIO | 2020 | ATIVO
6 | PQR1234 | HONDA | CIVIC | PASSEIO | 2019 | ATIVO
7 | STU5678 | HYUNDAI | HB20 | PASSEIO | 2017 | ATIVO
8 | VWX9012 | RENAULT | KWID | PASSEIO | 2021 | ATIVO
9 | YZA3456 | NISSAN | KICKS | SUV | 2022 | ATIVO
10 | BCD7890 | JEEP | RENEGADE | SUV | 2016 | INATIVO
11 | EFG1234 | FORD | FIESTA | PASSEIO | 2012 | ATIVO
12 | HIJ5678 | CHEVROLET | CRUZE | PASSEIO | 2019 | ATIVO
13 | KLM9012 | VOLKSWAGEN | POLO | PASSEIO | 2021 | ATIVO
14 | NOP3456 | FIAT | UNO | PASSEIO | 2007 | INATIVO
15 | QRS7890 | TOYOTA | YARIS | PASSEIO | 2020 | ATIVO
16 | TUV1234 | HONDA | FIT | PASSEIO | 2015 | ATIVO
17 | WXY5678 | HYUNDAI | CRETA | SUV | 2022 | ATIVO
18 | ZAB9012 | RENAULT | SANDERO | PASSEIO | 2014 | ATIVO
19 | CDE3456 | NISSAN | VERSA | PASSEIO | 2018 | ATIVO
20 | FGH7890 | JEEP | COMPASS | SUV | 2021 | ATIVO
21 | IJK1234 | FORD | RANGER | UTILITARIO | 2019 | ATIVO
22 | LMN5678 | CHEVROLET | S10 | UTILITARIO | 2017 | ATIVO
23 | OPQ9012 | VOLKSWAGEN | SAVEIRO | UTILITARIO | 2013 | INATIVO
24 | RST3456 | FIAT | STRADA | UTILITARIO | 2022 | ATIVO
25 | UVW7890 | TOYOTA | HILUX | UTILITARIO | 2020 | ATIVO
26 | XYZ1234 | HONDA | HR-V | SUV | 2018 | ATIVO
27 | ABC5D67 | HYUNDAI | TUCSON | SUV | 2021 | ATIVO
28 | DEF8E90 | RENAULT | DUSTER | SUV | 2016 | INATIVO
29 | GHI2F34 | NISSAN | SENTRA | PASSEIO | 2019 | ATIVO
30 | JKL5G67 | JEEP | GRAND CHEROKEE | SUV | 2020 | ATIVO
31 | MNO8H90 | FORD | ECOSPORT | SUV | 2017 | ATIVO
32 | PQR2I34 | CHEVROLET | TRACKER | SUV | 2022 | ATIVO
33 | STU5J67 | VOLKSWAGEN | TIGUAN | SUV | 2021 | ATIVO
34 | VWX8K90 | FIAT | TORO | UTILITARIO | 2019 | ATIVO
35 | YZA2L34 | TOYOTA | RAV4 | SUV | 2022 | ATIVO
36 | BCD5M67 | HONDA | WR-V | SUV | 2020 | ATIVO
37 | EFG8N90 | HYUNDAI | SANTA FE | SUV | 2018 | INATIVO
38 | HIJ2O34 | RENAULT | CAPTUR | SUV | 2021 | ATIVO
39 | KLM5P67 | NISSAN | FRONTIER | UTILITARIO | 2020 | ATIVO
40 | NOP8Q90 | JEEP | WRANGLER | SUV | 2019 | ATIVO
41 | QRS2R34 | FORD | TERRITORY | SUV | 2022 | ATIVO
42 | TUV5S67 | CHEVROLET | EQUINOX | SUV | 2021 | ATIVO
43 | WXY8T90 | VOLKSWAGEN | TAOS | SUV | 2022 | ATIVO
44 | ZAB2U34 | FIAT | CRONOS | PASSEIO | 2020 | ATIVO
45 | CDE5V67 | TOYOTA | CAMRY | PASSEIO | 2021 | INATIVO
46 | FGH8W90 | HONDA | ACCORD | PASSEIO | 2019 | ATIVO
47 | IJK2X34 | HYUNDAI | AZERA | PASSEIO | 2018 | ATIVO
48 | LMN5Y67 | RENAULT | LOGAN | PASSEIO | 2015 | ATIVO
49 | OPQ8Z90 | NISSAN | ALTIMA | PASSEIO | 2020 | ATIVO
50 | RST2A34 | JEEP | COMMANDER | SUV | 2022 | ATIVO
